team_id_1,team_id_2,team_1_name,team_2_name,total_matches,team_1_wins,draws,team_2_wins,team_1_goals,team_2_goals,team_1_avg_goals,team_2_avg_goals,last_meeting_date,last_5_results
3106,3121,Legia Warszawa,Lech Poznań,42,18,11,13,45,38,1.07,0.90,2025-10-26,X (0-0) | 2 (0-1) | 2 (2-5) | 1 (2-1) | X (0-0)
3121,7691,Lech Poznań,Jagiellonia Białystok,40,16,8,16,68,53,1.70,1.33,2025-09-28,X (2-2) | 2 (1-2) | 1 (5-0) | 1 (2-1) | X (3-3)
3106,7913,Legia Warszawa,KS Lechia Gdańsk,39,22,7,10,53,33,1.36,0.85,2025-11-22,X (2-2) | 1 (2-1) | 1 (2-0) | 2 (0-1) | 1 (2-1)
3106,7691,Legia Warszawa,Jagiellonia Białystok,39,14,15,10,55,34,1.41,0.87,2025-09-24,X (0-0) | 2 (0-1) | X (1-1) | X (1-1) | 2 (0-2)
3121,7913,Lech Poznań,KS Lechia Gdańsk,38,24,5,9,65,32,1.71,0.84,2025-07-26,1 (4-3) | 2 (0-1) | 1 (3-1) | 1 (5-0) | 1 (3-0)
3108,7691,Śląsk Wrocław,Jagiellonia Białystok,38,14,13,11,59,50,1.55,1.32,2025-05-16,X (1-1) | X (2-2) | 2 (1-3) | 1 (2-1) | X (1-1)
3106,4901,Legia Warszawa,Cracovia,36,23,7,6,61,30,1.69,0.83,2025-08-31,2 (1-2) | 2 (1-3) | 1 (3-2) | 2 (0-2) | 1 (2-0)
7691,7913,Jagiellonia Białystok,KS Lechia Gdańsk,36,14,6,16,48,57,1.33,1.58,2025-08-31,1 (2-0) | 2 (0-1) | 1 (3-2) | 1 (1-0) | X (2-2)
4901,7691,Cracovia,Jagiellonia Białystok,36,10,11,15,46,52,1.28,1.44,2025-08-10,2 (2-5) | X (2-2) | 1 (4-2) | 1 (3-1) | 2 (2-4)
3121,4901,Lech Poznań,Cracovia,36,16,10,10,57,38,1.58,1.06,2025-07-18,2 (1-4) | 1 (2-1) | 1 (2-0) | X (0-0) | X (1-1)
3108,4901,Śląsk Wrocław,Cracovia,36,17,11,8,55,43,1.53,1.19,2025-04-12,1 (4-2) | 2 (2-4) | 1 (4-0) | 1 (1-0) | X (1-1)
3108,3121,Śląsk Wrocław,Lech Poznań,36,10,10,16,38,49,1.06,1.36,2025-03-29,1 (3-1) | 2 (0-1) | X (0-0) | 1 (3-1) | 1 (2-1)
4901,7918,Cracovia,Piast Gliwice,35,11,10,14,45,48,1.29,1.37,2025-08-24,X (0-0) | X (0-0) | X (0-0) | X (1-1) | 2 (1-2)
3106,3108,Legia Warszawa,Śląsk Wrocław,35,19,10,6,57,26,1.63,0.74,2025-03-02,1 (3-1) | X (1-1) | X (0-0) | 2 (0-4) | 1 (3-1)
3113,7691,Zagłębie Lubin,Jagiellonia Białystok,34,11,8,15,38,44,1.12,1.29,2025-11-30,X (0-0) | 1 (3-1) | 2 (1-3) | 2 (1-2) | 2 (0-3)
3110,7691,Górnik Zabrze,Jagiellonia Białystok,34,12,6,16,47,50,1.38,1.47,2025-10-26,1 (2-1) | X (1-1) | 2 (0-2) | 1 (2-1) | 2 (1-4)
3106,3110,Legia Warszawa,Górnik Zabrze,34,21,7,6,71,40,2.09,1.18,2025-10-05,2 (1-3) | 1 (2-1) | X (1-1) | 1 (3-1) | 1 (2-1)
3113,3121,Zagłębie Lubin,Lech Poznań,34,11,10,13,37,43,1.09,1.26,2025-09-12,1 (2-1) | 2 (1-3) | 2 (0-1) | 2 (0-2) | X (1-1)
4901,7913,Cracovia,KS Lechia Gdańsk,34,16,5,13,48,44,1.41,1.29,2025-08-03,X (2-2) | 2 (0-2) | 1 (2-1) | 1 (2-1) | 2 (0-1)
3108,7918,Śląsk Wrocław,Piast Gliwice,34,9,10,15,41,47,1.21,1.38,2025-02-03,2 (1-3) | 2 (0-2) | X (2-2) | 1 (1-0) | 2 (0-1)
3108,7913,Śląsk Wrocław,KS Lechia Gdańsk,34,11,13,10,41,41,1.21,1.21,2024-12-07,2 (0-1) | X (0-0) | 1 (2-1) | 2 (0-2) | X (1-1)
3113,4901,Zagłębie Lubin,Cracovia,33,6,15,12,35,41,1.06,1.24,2025-11-03,X (0-0) | 2 (1-2) | X (1-1) | X (1-1) | 2 (1-2)
3106,3113,Legia Warszawa,Zagłębie Lubin,33,21,5,7,69,34,2.09,1.03,2025-10-19,2 (1-3) | 1 (3-0) | 1 (2-1) | 1 (3-0) | 1 (2-1)
7913,7918,KS Lechia Gdańsk,Piast Gliwice,33,16,6,11,46,37,1.39,1.12,2025-10-19,1 (2-1) | 1 (3-1) | X (3-3) | 2 (1-0) | 2 (1-3)
3106,3117,Legia Warszawa,Pogoń Szczecin,33,17,6,10,54,35,1.64,1.06,2025-09-28,1 (1-0) | X (0-0) | 2 (0-1) | X (1-1) | 1 (4-3)
7691,7918,Jagiellonia Białystok,Piast Gliwice,33,11,11,11,36,37,1.09,1.12,2025-09-13,X (1-1) | X (1-1) | 1 (1-0) | X (1-1) | X (0-0)
3108,3110,Śląsk Wrocław,Górnik Zabrze,33,7,13,13,42,49,1.27,1.48,2025-05-09,2 (0-2) | 2 (0-1) | 2 (0-2) | X (1-1) | 2 (0-2)
3106,7918,Legia Warszawa,Piast Gliwice,33,17,7,9,54,33,1.64,1.00,2025-02-08,2 (0-1) | 2 (1-2) | 1 (3-1) | X (1-1) | 1 (1-0)
3117,3121,Pogoń Szczecin,Lech Poznań,32,6,12,14,35,46,1.09,1.44,2025-10-19,X (2-2) | 2 (0-3) | 2 (0-2) | 2 (0-1) | 1 (5-0)
5065,7691,MKS Korona Kielce,Jagiellonia Białystok,32,8,9,15,42,61,1.31,1.91,2025-10-05,2 (1-3) | 1 (3-1) | 2 (1-3) | 2 (0-3) | X (2-2)
3117,7913,Pogoń Szczecin,KS Lechia Gdańsk,32,12,9,11,44,43,1.38,1.34,2025-09-21,2 (3-4) | X (3-3) | 1 (3-0) | 1 (1-0) | 1 (2-1)
3110,3121,Górnik Zabrze,Lech Poznań,32,7,9,16,34,55,1.06,1.72,2025-08-02,2 (1-2) | 1 (2-1) | X (0-0) | X (1-1) | 1 (1-0)
3121,7918,Lech Poznań,Piast Gliwice,32,18,8,6,55,23,1.72,0.72,2025-05-24,1 (1-0) | X (0-0) | 2 (0-1) | X (1-1) | 1 (1-0)
3111,7691,Wisła Kraków,Jagiellonia Białystok,32,12,9,11,45,38,1.41,1.19,2022-05-07,X (0-0) | 2 (1-3) | 1 (2-0) | X (1-1) | 1 (3-0)
