team_id,team_name,season_id,season_name,season_year,matches_played,total_goals,goals_per_game,total_xg,xg_per_game,xg_difference,xg_diff_per_game,total_big_chances_created,big_chances_created_per_game,total_big_chances_missed,big_chances_missed_per_game,total_big_chances_scored,big_chances_scored_per_game,total_shots_on_target,shots_on_target_per_game,total_shots_off_target,shots_off_target_per_game,total_blocked_shots,blocked_shots_per_game,total_shots,shots_per_game,total_shots_inside_box,shots_inside_box_per_game,total_shots_outside_box,shots_outside_box_per_game,total_hit_woodwork,total_corners,corners_per_game,avg_dribbles_success_pct,total_touches_in_box,touches_in_box_per_game
3117,Pogoń Szczecin,76477,Ekstraklasa 25/26,25/26,17,26,1.53,33.19,1.95,-7.19,-0.42,55,3.24,39,2.29,16,0.94,89,5.24,107,6.29,84,4.94,280,16.47,186,10.94,94,5.53,13,90,5.29,5.4,480,28.24
3121,Lech Poznań,76477,Ekstraklasa 25/26,25/26,16,27,1.69,28.02,1.75,-1.02,-0.06,26,1.63,14,0.88,12,0.75,83,5.19,81,5.06,81,5.06,245,15.31,147,9.19,98,6.13,5,96,6.00,7.5,413,25.81
3112,GKS Katowice,76477,Ekstraklasa 25/26,25/26,16,23,1.44,24.73,1.55,-1.73,-0.11,32,2.00,16,1.00,16,1.00,77,4.81,67,4.19,53,3.31,197,12.31,123,7.69,74,4.63,7,87,5.44,6.1,348,21.75
5065,MKS Korona Kielce,76477,Ekstraklasa 25/26,25/26,17,20,1.18,25.79,1.52,-5.79,-0.34,34,2.00,24,1.41,10,0.59,64,3.76,99,5.82,79,4.65,242,14.24,170,10.00,72,4.24,8,92,5.41,7.9,435,25.59
3106,Legia Warszawa,76477,Ekstraklasa 25/26,25/26,16,19,1.19,24.11,1.51,-5.11,-0.32,33,2.06,25,1.56,8,0.50,68,4.25,100,6.25,86,5.38,254,15.88,159,9.94,95,5.94,5,92,5.75,7.9,465,29.06
7691,Jagiellonia Białystok,76477,Ekstraklasa 25/26,25/26,15,27,1.80,21.99,1.47,5.01,0.33,28,1.87,12,0.80,16,1.07,78,5.20,78,5.20,61,4.07,217,14.47,146,9.73,71,4.73,6,69,4.60,6.9,384,25.60
36851,Bruk-Bet Termalica Nieciecza,76477,Ekstraklasa 25/26,25/26,17,22,1.29,24.69,1.45,-2.69,-0.16,39,2.29,27,1.59,12,0.71,71,4.18,69,4.06,57,3.35,197,11.59,128,7.53,69,4.06,6,76,4.47,6.4,338,19.88
3115,Widzew Łódź,76477,Ekstraklasa 25/26,25/26,17,25,1.47,24.67,1.45,0.33,0.02,36,2.12,21,1.24,15,0.88,76,4.47,77,4.53,63,3.71,216,12.71,131,7.71,85,5.00,5,68,4.00,8.3,356,20.94
3113,Zagłębie Lubin,76477,Ekstraklasa 25/26,25/26,16,28,1.75,22.94,1.43,5.06,0.32,36,2.25,19,1.19,17,1.06,70,4.38,78,4.88,49,3.06,197,12.31,131,8.19,66,4.13,3,65,4.06,5.1,325,20.31
7915,Motor Lublin,76477,Ekstraklasa 25/26,25/26,16,22,1.38,22.57,1.41,-0.57,-0.04,28,1.75,14,0.88,14,0.88,55,3.44,74,4.63,60,3.75,189,11.81,134,8.38,55,3.44,3,89,5.56,6.3,379,23.69
35268,Raków Częstochowa,76477,Ekstraklasa 25/26,25/26,16,25,1.56,22.21,1.39,2.79,0.17,41,2.56,25,1.56,16,1.00,70,4.38,73,4.56,55,3.44,198,12.38,137,8.56,61,3.81,3,66,4.13,8.0,380,23.75
3110,Górnik Zabrze,76477,Ekstraklasa 25/26,25/26,17,27,1.59,23.06,1.36,3.94,0.23,30,1.76,18,1.06,12,0.71,77,4.53,105,6.18,84,4.94,266,15.65,157,9.24,109,6.41,6,97,5.71,7.8,425,25.00
7295,Radomiak Radom,76477,Ekstraklasa 25/26,25/26,17,33,1.94,22.04,1.30,10.96,0.64,39,2.29,20,1.18,19,1.12,82,4.82,86,5.06,65,3.82,233,13.71,143,8.41,90,5.29,2,63,3.71,6.6,343,20.18
7913,KS Lechia Gdańsk,76477,Ekstraklasa 25/26,25/26,17,32,1.88,21.51,1.27,10.49,0.62,46,2.71,24,1.41,22,1.29,78,4.59,71,4.18,56,3.29,205,12.06,133,7.82,72,4.24,8,73,4.29,5.1,369,21.71
3122,Wisła Płock,76477,Ekstraklasa 25/26,25/26,16,20,1.25,20.24,1.27,-0.24,-0.02,28,1.75,16,1.00,12,0.75,58,3.63,81,5.06,48,3.00,187,11.69,111,6.94,76,4.75,5,63,3.94,5.4,291,18.19
4901,Cracovia,76477,Ekstraklasa 25/26,25/26,16,23,1.44,19.61,1.23,3.39,0.21,33,2.06,16,1.00,17,1.06,53,3.31,70,4.38,50,3.13,173,10.81,113,7.06,60,3.75,4,58,3.63,6.2,279,17.44
7918,Piast Gliwice,76477,Ekstraklasa 25/26,25/26,15,16,1.07,13.78,0.92,2.22,0.15,11,0.73,6,0.40,5,0.33,43,2.87,91,6.07,74,4.93,208,13.87,126,8.40,82,5.47,3,75,5.00,4.9,356,23.73
5064,MZKS Arka Gdynia,76477,Ekstraklasa 25/26,25/26,17,14,0.82,12.68,0.75,1.32,0.08,19,1.12,12,0.71,7,0.41,45,2.65,66,3.88,43,2.53,154,9.06,86,5.06,68,4.00,4,61,3.59,5.2,248,14.59
3106,Legia Warszawa,61236,Ekstraklasa 24/25,24/25,33,58,1.76,63.05,1.91,-5.05,-0.15,87,2.64,52,1.58,35,1.06,169,5.12,171,5.18,161,4.88,501,15.18,347,10.52,154,4.67,18,206,6.24,9.6,1045,31.67
3117,Pogoń Szczecin,61236,Ekstraklasa 24/25,24/25,33,56,1.70,60.84,1.84,-4.84,-0.15,83,2.52,50,1.52,33,1.00,176,5.33,172,5.21,149,4.52,497,15.06,331,10.03,166,5.03,11,201,6.09,5.7,897,27.18
7691,Jagiellonia Białystok,61236,Ekstraklasa 24/25,24/25,33,54,1.64,55.50,1.68,-1.50,-0.05,81,2.45,49,1.48,32,0.97,148,4.48,188,5.70,124,3.76,460,13.94,306,9.27,154,4.67,14,169,5.12,7.9,964,29.21
