team_id,team_name,season_id,season_name,season_year,matches_played,overall_win_pct,overall_avg_goals_per_match,overall_avg_scored,overall_avg_conceded,overall_btts_pct,overall_clean_sheet_pct,overall_avg_xg,overall_avg_xga,home_matches_played,home_win_pct,home_avg_goals_per_match,home_avg_scored,home_avg_conceded,home_btts_pct,home_clean_sheet_pct,home_avg_xg,home_avg_xga,away_matches_played,away_win_pct,away_avg_goals_per_match,away_avg_scored,away_avg_conceded,away_btts_pct,away_clean_sheet_pct,away_avg_xg,away_avg_xga
7295,Radomiak Radom,76477,Ekstraklasa 25/26,25/26,17,41.2,1.94,1.94,1.65,76.5,17.6,1.30,1.23,9,66.7,3.22,2.44,0.78,66.7,33.3,1.57,0.94,8,12.5,4.00,1.38,2.63,87.5,0.0,0.99,1.55
7913,KS Lechia Gdańsk,76477,Ekstraklasa 25/26,25/26,17,35.3,1.88,1.88,2.06,76.5,11.8,1.27,1.46,8,50.0,3.75,2.25,1.50,75.0,25.0,1.67,1.32,9,22.2,4.11,1.56,2.56,77.8,0.0,0.91,1.58
3121,Lech Poznań,76477,Ekstraklasa 25/26,25/26,16,37.5,1.69,1.69,1.50,75.0,25.0,1.75,1.05,9,33.3,3.67,1.89,1.78,100.0,0.0,1.66,1.04,7,42.9,2.57,1.43,1.14,42.9,57.1,1.87,1.06
3113,Zagłębie Lubin,76477,Ekstraklasa 25/26,25/26,16,31.3,1.75,1.75,1.44,68.8,25.0,1.43,1.39,8,50.0,3.50,2.50,1.00,62.5,37.5,1.69,0.99,8,12.5,2.88,1.00,1.88,75.0,12.5,1.18,1.80
3117,Pogoń Szczecin,76477,Ekstraklasa 25/26,25/26,17,35.3,1.53,1.53,1.76,64.7,5.9,1.95,1.66,8,62.5,4.00,2.38,1.63,75.0,12.5,2.62,1.56,9,11.1,2.67,0.78,1.89,55.6,0.0,1.36,1.74
36851,Bruk-Bet Termalica Nieciecza,76477,Ekstraklasa 25/26,25/26,17,23.5,1.29,1.29,2.00,64.7,17.6,1.45,1.74,8,12.5,3.25,1.13,2.13,62.5,12.5,1.10,1.84,9,33.3,3.33,1.44,1.89,66.7,22.2,1.76,1.65
3106,Legia Warszawa,76477,Ekstraklasa 25/26,25/26,16,25.0,1.19,1.19,1.13,62.5,31.3,1.51,0.96,8,37.5,2.13,1.38,0.75,50.0,50.0,1.51,0.80,8,12.5,2.50,1.00,1.50,75.0,12.5,1.50,1.12
7915,Motor Lublin,76477,Ekstraklasa 25/26,25/26,16,25.0,1.38,1.38,1.63,62.5,25.0,1.41,1.49,8,25.0,2.63,1.38,1.25,62.5,37.5,1.74,1.37,8,25.0,3.38,1.38,2.00,62.5,12.5,1.08,1.62
35268,Raków Częstochowa,76477,Ekstraklasa 25/26,25/26,16,50.0,1.56,1.56,1.38,62.5,18.8,1.39,1.00,7,28.6,2.71,1.29,1.43,71.4,14.3,0.93,0.62,9,66.7,3.11,1.78,1.33,55.6,22.2,1.75,1.30
7691,Jagiellonia Białystok,76477,Ekstraklasa 25/26,25/26,15,53.3,1.80,1.80,1.20,60.0,33.3,1.47,1.71,7,71.4,4.14,2.57,1.57,57.1,28.6,1.88,1.69,8,37.5,2.00,1.13,0.88,62.5,37.5,1.10,1.73
3115,Widzew Łódź,76477,Ekstraklasa 25/26,25/26,17,35.3,1.47,1.47,1.53,58.8,23.5,1.45,1.38,9,44.4,2.56,1.44,1.11,55.6,33.3,1.40,1.28,8,25.0,3.50,1.50,2.00,62.5,12.5,1.51,1.48
