team_id,team_name,season_id,season_name,season_year,matches_played,total_yellow_cards,yellow_cards_per_game,total_red_cards,total_fouls,fouls_per_game,total_offsides,offsides_per_game,total_free_kicks,free_kicks_per_game
7295,Radomiak Radom,76477,Ekstraklasa 25/26,25/26,17,41,2.41,0,244,14.35,24,1.41,209,12.29
35268,Raków Częstochowa,76477,Ekstraklasa 25/26,25/26,16,38,2.38,2,186,11.63,23,1.44,231,14.44
5064,MZKS Arka Gdynia,76477,Ekstraklasa 25/26,25/26,17,36,2.12,1,221,13.00,23,1.35,209,12.29
7691,Jagiellonia Białystok,76477,Ekstraklasa 25/26,25/26,15,35,2.33,0,176,11.73,35,2.33,207,13.80
7915,Motor Lublin,76477,Ekstraklasa 25/26,25/26,16,35,2.19,2,195,12.19,35,2.19,196,12.25
7918,Piast Gliwice,76477,Ekstraklasa 25/26,25/26,15,35,2.33,3,175,11.67,21,1.40,177,11.80
4901,Cracovia,76477,Ekstraklasa 25/26,25/26,16,34,2.13,1,210,13.13,18,1.13,198,12.38
7913,KS Lechia Gdańsk,76477,Ekstraklasa 25/26,25/26,17,34,2.00,1,185,10.88,11,0.65,159,9.35
3115,Widzew Łódź,76477,Ekstraklasa 25/26,25/26,17,34,2.00,1,163,9.59,23,1.35,213,12.53
3117,Pogoń Szczecin,76477,Ekstraklasa 25/26,25/26,17,34,2.00,0,198,11.65,26,1.53,177,10.41
36851,Bruk-Bet Termalica Nieciecza,76477,Ekstraklasa 25/26,25/26,17,32,1.88,0,197,11.59,19,1.12,193,11.35
5065,MKS Korona Kielce,76477,Ekstraklasa 25/26,25/26,17,32,1.88,2,192,11.29,32,1.88,203,11.94
3113,Zagłębie Lubin,76477,Ekstraklasa 25/26,25/26,16,30,1.88,1,210,13.13,29,1.81,193,12.06
3121,Lech Poznań,76477,Ekstraklasa 25/26,25/26,16,29,1.81,2,171,10.69,23,1.44,169,10.56
3110,Górnik Zabrze,76477,Ekstraklasa 25/26,25/26,17,28,1.65,0,171,10.06,15,0.88,168,9.88
3106,Legia Warszawa,76477,Ekstraklasa 25/26,25/26,16,27,1.69,1,232,14.50,13,0.81,186,11.63
3122,Wisła Płock,76477,Ekstraklasa 25/26,25/26,16,26,1.63,0,169,10.56,19,1.19,163,10.19
3112,GKS Katowice,76477,Ekstraklasa 25/26,25/26,16,26,1.63,0,199,12.44,27,1.69,198,12.38
38729,Puszcza Niepołomice,61236,Ekstraklasa 24/25,24/25,32,82,2.56,4,484,15.13,50,1.56,322,10.06
7295,Radomiak Radom,61236,Ekstraklasa 24/25,24/25,33,81,2.45,1,452,13.70,32,0.97,406,12.30
3106,Legia Warszawa,61236,Ekstraklasa 24/25,24/25,33,79,2.39,3,441,13.36,49,1.48,359,10.88
5065,MKS Korona Kielce,61236,Ekstraklasa 24/25,24/25,33,74,2.24,2,406,12.30,41,1.24,466,14.12
3108,Śląsk Wrocław,61236,Ekstraklasa 24/25,24/25,33,72,2.18,2,443,13.42,60,1.82,399,12.09
3115,Widzew Łódź,61236,Ekstraklasa 24/25,24/25,33,69,2.09,4,344,10.42,44,1.33,422,12.79
35268,Raków Częstochowa,61236,Ekstraklasa 24/25,24/25,33,68,2.06,5,401,12.15,52,1.58,395,11.97
7913,KS Lechia Gdańsk,61236,Ekstraklasa 24/25,24/25,32,67,2.09,1,364,11.38,30,0.94,332,10.38
7915,Motor Lublin,61236,Ekstraklasa 24/25,24/25,32,66,2.06,2,398,12.44,62,1.94,338,10.56
4901,Cracovia,61236,Ekstraklasa 24/25,24/25,33,65,1.97,2,378,11.45,47,1.42,388,11.76
3117,Pogoń Szczecin,61236,Ekstraklasa 24/25,24/25,33,65,1.97,5,375,11.36,41,1.24,326,9.88
7918,Piast Gliwice,61236,Ekstraklasa 24/25,24/25,33,65,1.97,2,408,12.36,64,1.94,441,13.36
3110,Górnik Zabrze,61236,Ekstraklasa 24/25,24/25,32,62,1.94,5,303,9.47,54,1.69,425,13.28
7691,Jagiellonia Białystok,61236,Ekstraklasa 24/25,24/25,33,61,1.85,2,395,11.97,56,1.70,438,13.27
38732,Stal Mielec,61236,Ekstraklasa 24/25,24/25,33,57,1.73,6,368,11.15,50,1.52,370,11.21
3113,Zagłębie Lubin,61236,Ekstraklasa 24/25,24/25,33,57,1.73,2,377,11.42,38,1.15,337,10.21
3121,Lech Poznań,61236,Ekstraklasa 24/25,24/25,33,52,1.58,2,397,12.03,61,1.85,403,12.21
3112,GKS Katowice,61236,Ekstraklasa 24/25,24/25,33,48,1.45,1,352,10.67,65,1.97,373,11.30
38729,Puszcza Niepołomice,52176,Ekstraklasa 23/24,23/24,32,93,2.91,4,505,15.78,53,1.66,364,11.38
7295,Radomiak Radom,52176,Ekstraklasa 23/24,23/24,32,86,2.69,7,422,13.19,48,1.50,452,14.13
3106,Legia Warszawa,52176,Ekstraklasa 23/24,23/24,33,83,2.52,5,438,13.27,58,1.76,456,13.82
3123,ŁKS Łódź,52176,Ekstraklasa 23/24,23/24,32,82,2.56,5,450,14.06,45,1.41,404,12.63
3115,Widzew Łódź,52176,Ekstraklasa 23/24,23/24,32,74,2.31,3,368,11.50,52,1.63,343,10.72
7922,Warta Poznań,52176,Ekstraklasa 23/24,23/24,32,73,2.28,2,488,15.25,40,1.25,354,11.06
35268,Raków Częstochowa,52176,Ekstraklasa 23/24,23/24,33,72,2.18,3,447,13.55,56,1.70,445,13.48
3108,Śląsk Wrocław,52176,Ekstraklasa 23/24,23/24,32,71,2.22,4,363,11.34,43,1.34,384,12.00
5065,MKS Korona Kielce,52176,Ekstraklasa 23/24,23/24,33,69,2.09,1,440,13.33,56,1.70,452,13.70
7918,Piast Gliwice,52176,Ekstraklasa 23/24,23/24,32,69,2.16,3,406,12.69,44,1.38,420,13.13
3105,Ruch Chorzów,52176,Ekstraklasa 23/24,23/24,32,68,2.13,5,408,12.75,35,1.09,412,12.88
4901,Cracovia,52176,Ekstraklasa 23/24,23/24,33,68,2.06,3,431,13.06,50,1.52,346,10.48
3110,Górnik Zabrze,52176,Ekstraklasa 23/24,23/24,32,67,2.09,7,417,13.03,25,0.78,396,12.38
3121,Lech Poznań,52176,Ekstraklasa 23/24,23/24,32,66,2.06,3,403,12.59,57,1.78,380,11.88
3117,Pogoń Szczecin,52176,Ekstraklasa 23/24,23/24,32,65,2.03,2,349,10.91,38,1.19,294,9.19
7691,Jagiellonia Białystok,52176,Ekstraklasa 23/24,23/24,32,64,2.00,2,373,11.66,65,2.03,448,14.00
38732,Stal Mielec,52176,Ekstraklasa 23/24,23/24,32,61,1.91,4,371,11.59,34,1.06,350,10.94
3113,Zagłębie Lubin,52176,Ekstraklasa 23/24,23/24,32,59,1.84,6,349,10.91,51,1.59,407,12.72
35330,Miedź Legnica,42004,Ekstraklasa 22/23,22/23,33,98,2.97,4,460,13.94,71,2.15,346,10.48
3110,Górnik Zabrze,42004,Ekstraklasa 22/23,22/23,33,90,2.73,2,449,13.61,70,2.12,366,11.09
7691,Jagiellonia Białystok,42004,Ekstraklasa 22/23,22/23,32,88,2.75,6,430,13.44,81,2.53,382,11.94
7295,Radomiak Radom,42004,Ekstraklasa 22/23,22/23,33,82,2.48,3,433,13.12,45,1.36,501,15.18
3106,Legia Warszawa,42004,Ekstraklasa 22/23,22/23,33,80,2.42,3,396,12.00,64,1.94,440,13.33
