team_id,team_name,season_id,season_name,season_year,matches_played,avg_possession_pct,total_accurate_passes,total_passes,accurate_passes_per_game,total_passes_per_game,pass_accuracy_pct,total_accurate_long_balls,accurate_long_balls_per_game,total_accurate_crosses,accurate_crosses_per_game,total_final_third_entries,final_third_entries_per_game,total_touches_in_box,touches_in_box_per_game,total_dispossessed,dispossessed_per_game,total_throw_ins,throw_ins_per_game,total_goal_kicks,goal_kicks_per_game
7691,Jagiellonia Białystok,76477,Ekstraklasa 25/26,25/26,15,58.9,6163,7310,410.9,487.3,84.3,252,16.80,75,5.00,775,51.67,384,25.60,143,9.53,237,15.80,102,6.80
7918,Piast Gliwice,76477,Ekstraklasa 25/26,25/26,15,58.7,5838,6867,389.2,457.8,85.0,319,21.27,72,4.80,798,53.20,356,23.73,90,6.00,266,17.73,93,6.20
3121,Lech Poznań,76477,Ekstraklasa 25/26,25/26,16,57.7,6145,7289,384.1,455.6,84.3,387,24.19,64,4.00,979,61.19,413,25.81,111,6.94,275,17.19,117,7.31
3106,Legia Warszawa,76477,Ekstraklasa 25/26,25/26,16,56.9,5846,7044,365.4,440.3,83.0,371,23.19,98,6.13,1029,64.31,465,29.06,126,7.88,284,17.75,76,4.75
35268,Raków Częstochowa,76477,Ekstraklasa 25/26,25/26,16,54.6,5596,6706,349.8,419.1,83.4,350,21.88,87,5.44,733,45.81,380,23.75,121,7.56,240,15.00,97,6.06
3117,Pogoń Szczecin,76477,Ekstraklasa 25/26,25/26,17,52.4,5521,6853,324.8,403.1,80.6,363,21.35,90,5.29,889,52.29,480,28.24,95,5.59,322,18.94,124,7.29
7915,Motor Lublin,76477,Ekstraklasa 25/26,25/26,16,51.5,5013,6019,313.3,376.2,83.3,251,15.69,65,4.06,647,40.44,379,23.69,128,8.00,233,14.56,140,8.75
7913,KS Lechia Gdańsk,76477,Ekstraklasa 25/26,25/26,17,49.3,4702,5952,276.6,350.1,79.0,281,16.53,84,4.94,856,50.35,369,21.71,76,4.47,329,19.35,105,6.18
3110,Górnik Zabrze,76477,Ekstraklasa 25/26,25/26,17,49.0,5578,6601,328.1,388.3,84.5,422,24.82,73,4.29,769,45.24,425,25.00,118,6.94,291,17.12,102,6.00
7295,Radomiak Radom,76477,Ekstraklasa 25/26,25/26,17,48.9,4668,5760,274.6,338.8,81.0,340,20.00,71,4.18,716,42.12,343,20.18,110,6.47,273,16.06,120,7.06
4901,Cracovia,76477,Ekstraklasa 25/26,25/26,16,48.2,4691,5951,293.2,371.9,78.8,291,18.19,62,3.88,779,48.69,279,17.44,97,6.06,269,16.81,112,7.00
3115,Widzew Łódź,76477,Ekstraklasa 25/26,25/26,17,47.8,4607,5749,271.0,338.2,80.1,373,21.94,45,2.65,741,43.59,356,20.94,110,6.47,260,15.29,126,7.41
3112,GKS Katowice,76477,Ekstraklasa 25/26,25/26,16,47.1,4585,5800,286.6,362.5,79.1,361,22.56,68,4.25,748,46.75,348,21.75,93,5.81,297,18.56,120,7.50
36851,Bruk-Bet Termalica Nieciecza,76477,Ekstraklasa 25/26,25/26,17,46.8,4744,6015,279.1,353.8,78.9,391,23.00,74,4.35,826,48.59,338,19.88,137,8.06,284,16.71,132,7.76
5064,MZKS Arka Gdynia,76477,Ekstraklasa 25/26,25/26,17,45.8,4397,5535,258.6,325.6,79.4,288,16.94,61,3.59,709,41.71,248,14.59,110,6.47,273,16.06,141,8.29
5065,MKS Korona Kielce,76477,Ekstraklasa 25/26,25/26,17,45.8,4276,5508,251.5,324.0,77.6,349,20.53,80,4.71,809,47.59,435,25.59,119,7.00,274,16.12,130,7.65
3122,Wisła Płock,76477,Ekstraklasa 25/26,25/26,16,42.9,4323,5404,270.2,337.8,80.0,385,24.06,66,4.13,704,44.00,291,18.19,82,5.13,233,14.56,118,7.38
3113,Zagłębie Lubin,76477,Ekstraklasa 25/26,25/26,16,40.0,3481,4720,217.6,295.0,73.8,370,23.13,68,4.25,693,43.31,325,20.31,105,6.56,260,16.25,125,7.81
