season_id,season_name,season_year,team_id,team_name,matches_played,wins,draws,losses,total_points,points_per_game,goals_for,goals_against,goal_difference,goals_per_game,goals_conceded_per_game,clean_sheets,clean_sheet_percentage,total_xg,xg_per_game,xg_difference,xg_diff_per_game,total_big_chances_created,big_chances_created_per_game,total_big_chances_missed,big_chances_missed_per_game,total_shots,shots_per_game,total_shots_on_target,shots_on_target_per_game,total_shots_inside_box,shots_inside_box_per_game,total_shots_outside_box,shots_outside_box_per_game,total_corners,corners_per_game,avg_dribbles_success_pct,total_hit_woodwork,total_saves,saves_per_game,total_tackles,tackles_per_game,avg_tackles_won_pct,total_interceptions,interceptions_per_game,total_clearances,clearances_per_game,total_blocked_shots,blocked_shots_per_game,total_ball_recoveries,ball_recoveries_per_game,avg_aerial_duels_pct,avg_ground_duels_pct,avg_duels_won_pct,total_errors_lead_to_goal,total_errors_lead_to_shot,avg_possession_pct,total_accurate_passes,total_passes,pass_accuracy_pct,accurate_passes_per_game,total_passes_per_game,total_accurate_long_balls,accurate_long_balls_per_game,total_accurate_crosses,accurate_crosses_per_game,total_final_third_entries,final_third_entries_per_game,total_touches_in_box_possession,touches_in_box_per_game_possession,total_dispossessed,dispossessed_per_game,total_yellow_cards,yellow_cards_per_game,total_red_cards,total_fouls,fouls_per_game,total_offsides,offsides_per_game,total_free_kicks,free_kicks_per_game,last_5_results,points_last_5,wins_last_5,draws_last_5,losses_last_5,goals_for_last_5,goals_against_last_5,halftime_leading_count,halftime_leading_wins,halftime_leading_win_pct,conceded_first_count,points_after_conceding_first,points_pct_after_conceding_first
76477,Ekstraklasa 25/26,25/26,3110,Górnik Zabrze,16,9,3,4,30,1.88,27,15,12,1.69,0.94,4,25.0,22.82,1.43,4.18,0.26,30,1.88,18,1.13,257,16.06,75,4.69,156,9.75,101,6.31,97,6.06,7.7,6,28,1.75,206,12.88,8.8,111,6.94,347,21.69,81,5.06,699,43.69,11.9,30.9,50.0,4,8,48.8,5170,6132,84.3,323.1,383.3,398,24.88,71,4.44,715,44.69,412,25.75,111,6.94,26,1.63,0,160,10.00,13,0.81,149,9.31,LLWWW,9,3,0,2,9,6,6,5,83.3,12,23,63.9
76477,Ekstraklasa 25/26,25/26,7691,Jagiellonia Białystok,14,8,3,3,27,1.93,27,18,9,1.93,1.29,4,28.6,21.43,1.53,5.57,0.40,27,1.93,11,0.79,198,14.14,74,5.29,138,9.86,60,4.29,63,4.50,7.2,6,57,4.07,190,13.57,8.8,100,7.14,346,24.71,53,3.79,645,46.07,13.3,33.6,49.9,1,10,57.9,5622,6681,84.1,401.6,477.2,235,16.79,72,5.14,704,50.29,358,25.57,139,9.93,32,2.29,0,158,11.29,31,2.21,190,13.57,DDLWW,8,2,2,1,11,6,4,4,100.0,10,19,63.3
76477,Ekstraklasa 25/26,25/26,3122,Wisła Płock,15,7,6,2,27,1.80,20,11,9,1.33,0.73,4,26.7,19.74,1.32,0.26,0.02,28,1.87,16,1.07,180,12.00,56,3.73,107,7.13,73,4.87,61,4.07,5.4,5,46,3.07,179,11.93,7.7,94,6.27,427,28.47,46,3.07,617,41.13,14.6,28.7,51.9,2,8,43.7,4089,5101,80.2,272.6,340.1,365,24.33,63,4.20,669,44.60,283,18.87,77,5.13,26,1.73,0,161,10.73,17,1.13,150,10.00,WWWWW,15,5,0,0,8,4,6,5,83.3,11,23,69.7
76477,Ekstraklasa 25/26,25/26,3121,Lech Poznań,15,6,6,3,24,1.60,27,24,3,1.80,1.60,3,20.0,26.34,1.76,0.66,0.04,25,1.67,13,0.87,220,14.67,81,5.40,133,8.87,87,5.80,81,5.40,7.8,5,35,2.33,172,11.47,7.6,81,5.40,319,21.27,68,4.53,586,39.07,13.6,31.0,50.3,4,6,56.9,5567,6639,83.9,371.1,442.6,357,23.80,53,3.53,865,57.67,372,24.80,104,6.93,27,1.80,2,158,10.53,22,1.47,161,10.73,WLLWL,6,2,0,3,9,8,6,3,50.0,12,15,41.7
76477,Ekstraklasa 25/26,25/26,35268,Raków Częstochowa,15,7,2,6,23,1.53,21,21,0,1.40,1.40,3,20.0,19.85,1.32,1.15,0.08,39,2.60,24,1.60,181,12.07,64,4.27,128,8.53,53,3.53,62,4.13,8.4,2,31,2.07,194,12.93,8.5,102,6.80,362,24.13,50,3.33,646,43.07,17.6,37.3,51.8,0,4,54.0,5151,6200,83.1,343.4,413.3,329,21.93,84,5.60,690,46.00,359,23.93,119,7.93,35,2.33,2,172,11.47,22,1.47,219,14.60,DDDWL,6,1,3,1,9,8,3,1,33.3,12,9,25.0
76477,Ekstraklasa 25/26,25/26,5065,MKS Korona Kielce,16,6,5,5,23,1.44,20,17,3,1.25,1.06,6,37.5,23.30,1.46,-3.30,-0.21,33,2.06,23,1.44,226,14.13,60,3.75,160,10.00,66,4.13,87,5.44,7.9,8,54,3.38,203,12.69,8.1,134,8.38,428,26.75,74,4.63,709,44.31,14.1,33.3,48.1,0,4,45.3,3966,5103,77.7,247.9,318.9,324,20.25,72,4.50,748,46.75,399,24.94,115,7.19,32,2.00,2,176,11.00,30,1.88,189,11.81,DDWLL,5,1,2,2,5,7,5,3,60.0,10,10,33.3
76477,Ekstraklasa 25/26,25/26,7295,Radomiak Radom,16,6,4,6,22,1.38,29,28,1,1.81,1.75,2,12.5,19.73,1.23,9.27,0.58,36,2.25,19,1.19,214,13.38,74,4.63,134,8.38,80,5.00,59,3.69,6.7,2,37,2.31,206,12.88,8.1,94,5.88,498,31.13,60,3.75,567,35.44,18.1,33.1,50.5,4,3,48.9,4297,5331,80.6,268.6,333.2,327,20.44,66,4.13,690,43.13,322,20.13,103,6.44,38,2.38,0,225,14.06,23,1.44,198,12.38,LWDLL,4,1,1,3,9,9,4,3,75.0,14,17,40.5
76477,Ekstraklasa 25/26,25/26,4901,Cracovia,15,6,4,5,22,1.47,22,19,3,1.47,1.27,6,40.0,18.37,1.22,3.63,0.24,32,2.13,16,1.07,163,10.87,50,3.33,107,7.13,56,3.73,54,3.60,6.1,4,34,2.27,212,14.13,9.4,139,9.27,443,29.53,48,3.20,597,39.80,16.8,33.6,50.0,0,3,48.3,4414,5580,79.1,294.3,372.0,270,18.00,58,3.87,736,49.07,263,17.53,91,6.07,31,2.07,1,195,13.00,15,1.00,182,12.13,DLLLW,4,1,1,3,4,7,7,3,42.9,9,5,18.5
76477,Ekstraklasa 25/26,25/26,3113,Zagłębie Lubin,15,5,6,4,21,1.40,28,23,5,1.87,1.53,3,20.0,21.45,1.43,6.55,0.44,35,2.33,18,1.20,188,12.53,66,4.40,126,8.40,62,4.13,63,4.20,5.3,3,41,2.73,236,15.73,9.3,150,10.00,546,36.40,48,3.20,660,44.00,20.9,32.0,51.9,2,6,40.9,3346,4497,74.4,223.1,299.8,350,23.33,65,4.33,661,44.07,310,20.67,94,6.27,28,1.87,1,193,12.87,26,1.73,175,11.67,LWWWW,12,4,0,1,7,7,7,5,71.4,12,13,36.1
76477,Ekstraklasa 25/26,25/26,3117,Pogoń Szczecin,16,6,2,8,20,1.25,26,28,-2,1.63,1.75,1,6.3,32.30,2.02,-6.30,-0.39,53,3.31,37,2.31,252,15.75,86,5.38,173,10.81,79,4.94,83,5.19,5.3,12,71,4.44,182,11.38,7.3,125,7.81,473,29.56,69,4.31,682,42.63,13.8,25.8,47.0,3,8,50.8,4947,6175,80.1,309.2,385.9,340,21.25,85,5.31,796,49.75,431,26.94,86,5.38,34,2.13,0,188,11.75,26,1.63,160,10.00,WDLWW,10,3,1,1,10,8,4,3,75.0,15,22,48.9
76477,Ekstraklasa 25/26,25/26,7913,KS Lechia Gdańsk,16,5,4,7,19,1.19,27,34,-7,1.69,2.13,2,12.5,18.80,1.18,8.20,0.51,41,2.56,23,1.44,189,11.81,68,4.25,124,7.75,65,4.06,69,4.31,4.5,8,44,2.75,255,15.94,9.7,130,8.13,441,27.56,52,3.25,678,42.38,15.5,31.2,48.4,3,2,48.9,4260,5440,78.3,266.3,340.0,259,16.19,75,4.69,803,50.19,332,20.75,73,4.56,33,2.06,1,171,10.69,9,0.56,151,9.44,WWDLD,8,2,2,1,8,8,5,2,40.0,14,13,31.0
76477,Ekstraklasa 25/26,25/26,7915,Motor Lublin,15,4,7,4,19,1.27,21,25,-4,1.40,1.67,4,26.7,21.76,1.45,-0.76,-0.05,27,1.80,14,0.93,185,12.33,54,3.60,131,8.73,54,3.60,84,5.60,6.1,3,43,2.87,217,14.47,10.1,97,6.47,367,24.47,57,3.80,640,42.67,13.2,33.4,49.4,3,9,51.7,4671,5600,83.4,311.4,373.3,233,15.53,64,4.27,617,41.13,368,24.53,120,8.00,35,2.33,2,186,12.40,33,2.20,175,11.67,DLWWD,8,2,2,1,10,9,3,1,33.3,11,11,33.3
76477,Ekstraklasa 25/26,25/26,5064,MZKS Arka Gdynia,16,5,3,8,18,1.13,13,28,-15,0.81,1.75,3,18.8,12.29,0.77,0.71,0.04,18,1.13,11,0.69,148,9.25,43,2.69,85,5.31,63,3.94,58,3.63,5.0,4,44,2.75,210,13.13,7.6,121,7.56,459,28.69,39,2.44,550,34.38,15.3,31.1,48.7,2,9,46.4,4173,5237,79.7,260.8,327.3,275,17.19,61,3.81,666,41.63,240,15.00,108,6.75,35,2.19,0,209,13.06,22,1.38,195,12.19,LWLWL,6,2,0,3,6,13,3,2,66.7,13,12,30.8
76477,Ekstraklasa 25/26,25/26,3106,Legia Warszawa,15,4,6,5,18,1.20,18,17,1,1.20,1.13,5,33.3,22.83,1.52,-4.83,-0.32,31,2.07,24,1.60,240,16.00,64,4.27,153,10.20,87,5.80,91,6.07,7.6,4,32,2.13,191,12.73,8.3,117,7.80,323,21.53,82,5.47,635,42.33,17.6,33.1,49.7,0,4,57.3,5475,6606,82.9,365.0,440.4,345,23.00,94,6.27,966,64.40,445,29.67,114,7.60,24,1.60,1,210,14.00,13,0.87,177,11.80,LDWLL,4,1,1,3,5,8,4,3,75.0,10,13,43.3
76477,Ekstraklasa 25/26,25/26,3115,Widzew Łódź,16,5,2,9,17,1.06,23,26,-3,1.44,1.63,3,18.8,22.55,1.41,0.45,0.03,32,2.00,19,1.19,206,12.88,72,4.50,124,7.75,82,5.13,64,4.00,8.5,5,37,2.31,229,14.31,10.0,111,6.94,407,25.44,61,3.81,663,41.44,11.9,36.9,51.5,5,9,48.9,4425,5480,80.7,276.6,342.5,348,21.75,40,2.50,697,43.56,343,21.44,101,6.31,31,1.94,1,151,9.44,22,1.38,206,12.88,DLLLW,4,1,1,3,6,11,4,4,100.0,13,7,17.9
76477,Ekstraklasa 25/26,25/26,3112,GKS Katowice,15,5,2,8,17,1.13,21,27,-6,1.40,1.80,2,13.3,23.49,1.57,-2.49,-0.17,30,2.00,16,1.07,188,12.53,72,4.80,117,7.80,71,4.73,84,5.60,6.1,7,40,2.67,208,13.87,8.2,101,6.73,459,30.60,53,3.53,636,42.40,19.3,31.3,52.9,1,7,48.7,4457,5598,79.6,297.1,373.2,353,23.53,65,4.33,717,47.80,335,22.33,86,5.73,26,1.73,0,182,12.13,26,1.73,188,12.53,DDWDD,7,1,4,0,10,6,2,1,50.0,13,14,35.9
76477,Ekstraklasa 25/26,25/26,36851,Bruk-Bet Termalica Nieciecza,16,4,4,8,16,1.00,21,29,-8,1.31,1.81,3,18.8,23.33,1.46,-2.33,-0.15,37,2.31,26,1.63,193,12.06,68,4.25,124,7.75,69,4.31,74,4.63,6.4,6,62,3.88,228,14.25,8.9,105,6.56,434,27.13,57,3.56,659,41.19,18.3,32.3,50.4,5,5,46.9,4403,5594,78.7,275.2,349.6,368,23.00,72,4.50,783,48.94,320,20.00,125,7.81,30,1.88,0,188,11.75,19,1.19,179,11.19,WDDLL,5,1,2,2,6,8,7,1,14.3,13,12,30.8
76477,Ekstraklasa 25/26,25/26,7918,Piast Gliwice,14,3,5,6,14,1.00,16,17,-1,1.14,1.21,3,21.4,11.84,0.85,4.16,0.30,10,0.71,5,0.36,184,13.14,40,2.86,114,8.14,70,5.00,65,4.64,5.0,3,36,2.57,139,9.93,6.6,96,6.86,357,25.50,64,4.57,561,40.07,13.8,26.9,47.8,2,9,58.0,5363,6291,85.2,383.1,449.4,296,21.14,66,4.71,730,52.14,314,22.43,85,6.07,34,2.43,3,167,11.93,18,1.29,165,11.79,DDLLD,3,0,3,2,8,6,2,0,0.0,11,10,30.3
61236,Ekstraklasa 24/25,24/25,3121,Lech Poznań,33,21,4,8,67,2.03,66,31,35,2.00,0.94,13,39.4,55.47,1.68,10.53,0.32,80,2.42,43,1.30,512,15.52,178,5.39,342,10.36,170,5.15,167,5.06,6.8,10,108,3.27,448,13.58,8.1,244,7.39,643,19.48,179,5.42,1570,47.58,11.7,32.0,50.1,5,10,59.1,14014,16617,84.3,424.7,503.5,677,20.52,145,4.39,1812,54.91,932,28.24,249,7.55,52,1.58,2,397,12.03,61,1.85,403,12.21,WWDWW,13,4,1,0,14,5,16,12,75.0,20,34,56.7
61236,Ekstraklasa 24/25,24/25,35268,Raków Częstochowa,33,19,9,5,66,2.00,49,23,26,1.48,0.70,16,48.5,48.86,1.48,0.14,0.00,65,1.97,34,1.03,457,13.85,158,4.79,277,8.39,180,5.45,167,5.06,8.9,8,82,2.48,442,13.39,8.1,314,9.52,649,19.67,125,3.79,1490,45.15,17.4,33.6,50.2,2,4,52.3,11044,13607,81.2,334.7,412.3,760,23.03,174,5.27,1679,50.88,799,24.21,264,8.00,68,2.06,5,401,12.15,52,1.58,395,11.97,WWDDW,11,3,2,0,9,4,15,8,53.3,17,30,58.8
61236,Ekstraklasa 24/25,24/25,7691,Jagiellonia Białystok,33,16,10,7,58,1.76,54,42,12,1.64,1.27,10,30.3,55.50,1.68,-1.50,-0.05,81,2.45,49,1.48,460,13.94,148,4.48,306,9.27,154,4.67,169,5.12,7.9,14,102,3.09,491,14.88,9.2,289,8.76,772,23.39,124,3.76,1521,46.09,13.4,35.1,50.5,2,11,53.8,12334,14878,82.9,373.8,450.8,687,20.82,135,4.09,1844,55.88,964,29.21,249,7.55,61,1.85,2,395,11.97,56,1.70,438,13.27,LWDLL,4,1,1,3,6,7,15,7,46.7,23,26,37.7
61236,Ekstraklasa 24/25,24/25,3117,Pogoń Szczecin,33,16,7,10,55,1.67,56,40,16,1.70,1.21,13,39.4,60.84,1.84,-4.84,-0.15,83,2.52,50,1.52,497,15.06,176,5.33,331,10.03,166,5.03,201,6.09,5.7,11,101,3.06,436,13.21,8.0,272,8.24,828,25.09,149,4.52,1515,45.91,14.9,28.0,50.7,4,9,55.9,12254,14928,82.1,371.3,452.4,830,25.15,188,5.70,1836,55.64,897,27.18,212,6.42,65,1.97,5,375,11.36,41,1.24,326,9.88,WLWLD,7,2,1,2,12,10,12,8,66.7,20,22,36.7
61236,Ekstraklasa 24/25,24/25,3106,Legia Warszawa,33,14,9,10,51,1.55,58,45,13,1.76,1.36,6,18.2,63.05,1.91,-5.05,-0.15,87,2.64,52,1.58,501,15.18,169,5.12,347,10.52,154,4.67,206,6.24,9.6,18,86,2.61,470,14.24,8.9,256,7.76,667,20.21,161,4.88,1677,50.82,15.5,34.4,49.8,10,18,53.8,11804,14473,81.6,357.7,438.6,663,20.09,165,5.00,1836,55.64,1045,31.67,323,9.79,79,2.39,3,441,13.36,49,1.48,359,10.88,LLDDD,3,0,3,2,8,7,8,5,62.5,27,42,51.9
61236,Ekstraklasa 24/25,24/25,4901,Cracovia,33,14,8,11,50,1.52,57,52,5,1.73,1.58,6,18.2,47.78,1.45,9.22,0.28,72,2.18,36,1.09,468,14.18,144,4.36,269,8.15,199,6.03,161,4.88,6.5,9,95,2.88,477,14.45,8.7,265,8.03,842,25.52,120,3.64,1597,48.39,17.9,32.1,50.2,2,7,47.0,9663,12377,78.1,292.8,375.1,726,22.00,165,5.00,1760,53.33,705,21.36,250,7.58,65,1.97,2,378,11.45,47,1.42,388,11.76,DWLDD,6,1,3,1,7,6,7,2,28.6,27,32,39.5
61236,Ekstraklasa 24/25,24/25,3112,GKS Katowice,33,14,7,12,49,1.48,48,45,3,1.45,1.36,9,27.3,53.43,1.62,-5.43,-0.16,71,2.15,44,1.33,479,14.52,150,4.55,301,9.12,178,5.39,147,4.45,6.2,10,112,3.39,436,13.21,8.2,272,8.24,916,27.76,123,3.73,1578,47.82,15.8,29.7,49.0,6,6,48.5,10626,13362,79.5,322.0,404.9,808,24.48,171,5.18,1526,46.24,814,24.67,262,7.94,48,1.45,1,352,10.67,65,1.97,373,11.30,DLWLD,5,1,2,2,9,10,10,4,40.0,24,27,37.5
61236,Ekstraklasa 24/25,24/25,3110,Górnik Zabrze,32,13,7,12,46,1.44,41,35,6,1.28,1.09,10,31.3,45.86,1.43,-4.86,-0.15,69,2.16,48,1.50,477,14.91,151,4.72,280,8.75,197,6.16,172,5.38,7.7,10,76,2.38,511,15.97,10.2,299,9.34,725,22.66,148,4.63,1572,49.13,10.2,36.4,52.9,3,11,56.8,14332,16734,85.6,447.9,522.9,1107,34.59,114,3.56,1612,50.38,725,22.66,214,6.69,62,1.94,5,303,9.47,54,1.69,425,13.28,LLWWL,6,2,0,3,4,4,10,4,40.0,22,23,34.8
61236,Ekstraklasa 24/25,24/25,7915,Motor Lublin,32,13,7,12,46,1.44,46,57,-11,1.44,1.78,6,18.8,51.51,1.61,-5.51,-0.17,76,2.38,51,1.59,419,13.09,130,4.06,277,8.66,142,4.44,162,5.06,6.4,20,118,3.69,440,13.75,8.7,272,8.50,751,23.47,115,3.59,1520,47.50,11.2,30.2,47.8,10,5,47.8,10402,12837,81.0,325.1,401.2,540,16.88,140,4.38,1632,51.00,722,22.56,227,7.09,66,2.06,2,398,12.44,62,1.94,338,10.56,DWLDD,6,1,3,1,5,10,10,5,50.0,26,28,35.9
61236,Ekstraklasa 24/25,24/25,5065,MKS Korona Kielce,33,11,12,10,45,1.36,37,42,-5,1.12,1.27,8,24.2,44.32,1.34,-7.32,-0.22,47,1.42,24,0.73,438,13.27,132,4.00,266,8.06,172,5.21,174,5.27,7.1,4,90,2.73,562,17.03,10.5,308,9.33,895,27.12,128,3.88,1611,48.82,14.6,37.3,49.4,1,5,47.1,9122,11824,77.1,276.4,358.3,694,21.03,142,4.30,1717,52.03,688,20.85,293,8.88,74,2.24,2,406,12.30,41,1.24,466,14.12,WLLWW,9,3,0,2,9,7,7,6,85.7,25,46,61.3
61236,Ekstraklasa 24/25,24/25,7918,Piast Gliwice,33,11,11,11,44,1.33,36,35,1,1.09,1.06,11,33.3,38.96,1.18,-2.96,-0.09,57,1.73,39,1.18,433,13.12,139,4.21,276,8.36,157,4.76,154,4.67,5.8,8,85,2.58,426,12.91,7.9,259,7.85,828,25.09,115,3.48,1642,49.76,18.4,30.8,48.5,3,5,48.4,10901,13838,78.8,330.3,419.3,781,23.67,146,4.42,1854,56.18,726,22.00,236,7.15,65,1.97,2,408,12.36,64,1.94,441,13.36,LWDLL,4,1,1,3,7,5,9,5,55.6,22,16,24.2
61236,Ekstraklasa 24/25,24/25,3115,Widzew Łódź,33,11,6,16,39,1.18,37,48,-11,1.12,1.45,8,24.2,41.75,1.27,-4.75,-0.14,59,1.79,40,1.21,413,12.52,117,3.55,243,7.36,170,5.15,153,4.64,6.8,11,91,2.76,493,14.94,9.1,288,8.73,817,24.76,123,3.73,1471,44.58,12.6,33.8,50.2,6,8,49.5,11046,13481,81.9,334.7,408.5,697,21.12,137,4.15,1564,47.39,653,19.79,276,8.36,69,2.09,4,344,10.42,44,1.33,422,12.79,LWDLW,7,2,1,2,4,6,8,6,75.0,25,27,36.0
61236,Ekstraklasa 24/25,24/25,7295,Radomiak Radom,33,10,8,15,38,1.15,46,51,-5,1.39,1.55,5,15.2,48.47,1.47,-2.47,-0.07,66,2.00,37,1.12,459,13.91,139,4.21,324,9.82,135,4.09,179,5.42,7.2,11,86,2.61,549,16.64,9.8,324,9.82,899,27.24,121,3.67,1527,46.27,19.5,35.1,51.4,2,12,47.8,9255,11936,77.5,280.5,361.7,778,23.58,199,6.03,1573,47.67,768,23.27,242,7.33,81,2.45,1,452,13.70,32,0.97,406,12.30,DWWWL,10,3,1,1,8,7,6,4,66.7,28,24,28.6
61236,Ekstraklasa 24/25,24/25,7913,KS Lechia Gdańsk,32,10,6,16,36,1.13,43,56,-13,1.34,1.75,6,18.8,47.59,1.49,-4.59,-0.14,59,1.84,33,1.03,416,13.00,139,4.34,255,7.97,161,5.03,147,4.59,7.5,10,93,2.91,505,15.78,9.6,294,9.19,798,24.94,123,3.84,1499,46.84,13.7,33.2,48.9,4,2,48.3,9691,12271,79.0,302.8,383.5,713,22.28,109,3.41,1757,54.91,760,23.75,204,6.38,67,2.09,1,364,11.38,30,0.94,332,10.38,DWWDW,11,3,2,0,13,9,9,4,44.4,26,27,34.6
61236,Ekstraklasa 24/25,24/25,3113,Zagłębie Lubin,33,10,6,17,36,1.09,33,49,-16,1.00,1.48,6,18.2,47.74,1.45,-14.74,-0.45,50,1.52,31,0.94,486,14.73,147,4.45,291,8.82,195,5.91,183,5.55,7.0,11,107,3.24,486,14.73,8.6,293,8.88,945,28.64,130,3.94,1626,49.27,17.8,31.2,48.8,3,13,46.3,9187,12015,76.5,278.4,364.1,748,22.67,166,5.03,1707,51.73,789,23.91,233,7.06,57,1.73,2,377,11.42,38,1.15,337,10.21,DLWLL,4,1,1,3,6,9,7,2,28.6,27,25,30.9
